"latnum","longnum","start","end","severity","cause","flood"
21.6145,91.92088333,NA,NA,NA,NA,"All Households"
21.6149,91.92005,NA,NA,NA,NA,"All Households"
21.61426667,91.92125,NA,NA,NA,NA,"All Households"
20.76208333,92.32956667,NA,NA,NA,NA,"All Households"
20.76226667,92.32883333,NA,NA,NA,NA,"All Households"
20.76236667,92.32826667,NA,NA,NA,NA,"All Households"
20.7616,92.32866667,NA,NA,NA,NA,"All Households"
20.75716667,92.3173,NA,NA,NA,NA,"All Households"
23.99756667,90.06133333,NA,NA,NA,NA,"All Households"
23.99233333,90.05073333,NA,NA,NA,NA,"All Households"
24.00223333,90.0617,NA,NA,NA,NA,"All Households"
24.00235,90.06021667,NA,NA,NA,NA,"All Households"
24.00251667,90.06023333,NA,NA,NA,NA,"All Households"
24.00101667,90.06248333,NA,NA,NA,NA,"All Households"
23.9313,90.18816667,NA,NA,NA,NA,"All Households"
23.93,90.18905,NA,NA,NA,NA,"All Households"
23.93208333,90.19041667,NA,NA,NA,NA,"All Households"
23.92955,90.19123333,NA,NA,NA,NA,"All Households"
23.93055,90.19373333,NA,NA,NA,NA,"All Households"
23.68333333,90.04813333,NA,NA,NA,NA,"All Households"
23.68298333,90.04985,NA,NA,NA,NA,"All Households"
23.68521667,90.05046667,NA,NA,NA,NA,"All Households"
23.68546667,90.04503333,NA,NA,NA,NA,"All Households"
23.68345,90.04633333,NA,NA,NA,NA,"All Households"
23.68356667,90.04593333,NA,NA,NA,NA,"All Households"
23.682,90.05066667,NA,NA,NA,NA,"All Households"
25.34276667,88.87373333,NA,NA,NA,NA,"All Households"
25.34241667,88.87346667,NA,NA,NA,NA,"All Households"
25.34143333,88.87185,NA,NA,NA,NA,"All Households"
25.34231667,88.87226667,NA,NA,NA,NA,"All Households"
25.56003333,88.56951667,NA,NA,NA,NA,"All Households"
25.55903333,88.57056667,NA,NA,NA,NA,"All Households"
25.56026667,88.57465,NA,NA,NA,NA,"All Households"
25.5578,88.57941667,NA,NA,NA,NA,"All Households"
25.56951667,88.54236667,NA,NA,NA,NA,"All Households"
25.52366667,88.77181667,NA,NA,NA,NA,"All Households"
25.52851667,88.76741667,NA,NA,NA,NA,"All Households"
25.5281,88.76833333,NA,NA,NA,NA,"All Households"
25.5253,88.76438333,NA,NA,NA,NA,"All Households"
25.52625,88.7654,NA,NA,NA,NA,"All Households"
25.52561667,88.7649,NA,NA,NA,NA,"All Households"
25.78753333,88.5588,NA,NA,NA,NA,"All Households"
25.78751667,88.55803333,NA,NA,NA,NA,"All Households"
25.78786667,88.54788333,NA,NA,NA,NA,"All Households"
25.78783333,88.54801667,NA,NA,NA,NA,"All Households"
25.78783333,88.5492,NA,NA,NA,NA,"All Households"
25.78231667,88.55661667,NA,NA,NA,NA,"All Households"
25.78168333,88.55673333,NA,NA,NA,NA,"All Households"
25.42243333,89.0729,NA,NA,NA,NA,"All Households"
25.42406667,89.07106667,NA,NA,NA,NA,"All Households"
25.4236,89.0719,NA,NA,NA,NA,"All Households"
25.42506667,89.07326667,NA,NA,NA,NA,"All Households"
25.42573333,89.07348333,NA,NA,NA,NA,"All Households"
25.42133333,89.07148333,NA,NA,NA,NA,"All Households"
